roi_id,net_01_pct_in_devatlas,net_02_pct_in_devatlas,net_03_pct_in_devatlas,net_04_pct_in_devatlas,net_05_pct_in_devatlas,net_06_pct_in_devatlas,net_07_pct_in_devatlas,net_08_pct_in_devatlas,net_09_pct_in_devatlas,net_10_pct_in_devatlas,net_11_pct_in_devatlas,net_12_pct_in_devatlas,net_13_pct_in_devatlas,net_14_pct_in_devatlas,net_15_pct_in_devatlas,net_16_pct_in_devatlas,net_17_pct_in_devatlas,net_18_pct_in_devatlas,net_19_pct_in_devatlas,net_20_pct_in_devatlas,net_21_pct_in_devatlas,net_22_pct_in_devatlas,net_23_pct_in_devatlas,net_24_pct_in_devatlas
1,0.0,0.0,0.0,0.002541,0.27446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181703,0.0,0.0,0.0,0.0,0.0,0.0,0.148666,0.39263,0.0,0.0,0.0
2,0.0,0.0,0.0,0.002299,0.48046,0.0,0.0,0.118391,0.0,0.0,0.0,0.0,0.287356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111494,0.0,0.0,0.0
3,0.103753,0.113687,0.0,0.0,0.0,0.0,0.233996,0.0,0.304636,0.0,0.062914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016556,0.164459,0.0,0.0,0.0
4,0.116216,0.209459,0.0,0.0,0.0,0.0,0.0,0.497297,0.175676,0.0,0.001351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.001295,0.0,0.0,0.0,0.0,0.0,0.009067,0.0,0.715026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001295,0.273316,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2949,0.7051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.004666,0.0,0.0,0.214619,0.0,0.0,0.0,0.0,0.0,0.272162,0.040435,0.0,0.0,0.301711,0.020218,0.0,0.001555,0.023328,0.0,0.121306,0.0,0.0,0.0
8,0.0,0.027314,0.0,0.0,0.347496,0.0,0.0,0.051593,0.0,0.0,0.295903,0.042489,0.066768,0.0,0.163885,0.0,0.003035,0.0,0.0,0.0,0.001517,0.0,0.0,0.0
9,0.0,0.0,0.0,0.087186,0.48745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001321,0.303831,0.0,0.0,0.110964,0.0,0.009247,0.0,0.0,0.0
10,0.0,0.0,0.0,0.110363,0.569314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048452,0.244953,0.025572,0.0,0.001346,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.001453,0.011628,0.148256,0.0,0.0,0.0,0.47093,0.0,0.0,0.0,0.0,0.0,0.0,0.277616,0.090116,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28009,0.284589,0.0,0.0,0.0,0.435321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.014085,0.0,0.910798,0.0,0.0,0.0,0.075117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996656,0.0,0.0,0.0,0.003344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.00184,0.0,0.00184,0.218951,0.048758,0.00092,0.0,0.324747,0.0,0.106716,0.0,0.106716,0.0,0.096596,0.0,0.0,0.0,0.0,0.0,0.092916,0.0,0.0,0.0
16,0.007843,0.187255,0.0,0.045098,0.277451,0.0,0.0,0.141176,0.12451,0.0,0.117647,0.0,0.085294,0.0,0.013725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.185276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77546,0.039264,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.039519,0.0,0.0,0.658076,0.0,0.134021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436,0.0,0.164948,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.02399,0.012626,0.366162,0.0,0.166667,0.0,0.0,0.0,0.20202,0.0,0.0,0.0,0.0,0.0,0.0,0.117424,0.025253,0.0,0.0,0.085859
20,0.0,0.0,0.0,0.001998,0.103896,0.0,0.0,0.724276,0.04995,0.0,0.0,0.0,0.11988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.002979,0.486594,0.0,0.0,0.0,0.0,0.0,0.0,0.000993,0.0,0.0,0.0,0.0,0.0,0.0,0.509434,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.005365,0.007511,0.207082,0.0,0.635193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14485,0.0,0.0,0.0,0.0
23,0.078708,0.116044,0.0,0.0,0.0,0.045409,0.500505,0.0,0.047427,0.0,0.06559,0.0,0.008073,0.0,0.0,0.0,0.0,0.0,0.0,0.138244,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040892,0.0,0.0,0.0,0.0
25,0.0,0.048742,0.0,0.0,0.044025,0.0,0.25,0.0,0.0,0.0,0.177673,0.097484,0.0,0.0,0.0,0.0,0.0,0.0,0.014151,0.209119,0.158805,0.0,0.0,0.0
26,0.0,0.155932,0.0,0.0,0.110169,0.0,0.0,0.450847,0.0,0.0,0.20678,0.076271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
